Event Name,Swim time,Swim date,Event description,Team Code,Team Name,Athlete Full Name,Gender,Athlete birth date,Rank_Order,City,Country Code,Duration (hh:mm:ss:ff)
13th FINA World Championships 2009,47.27,7/29/2009,Men 100 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,5/1/1983,27,Rome,ITA,0:0:47:27
European Junior Swimming Championships 2021,47.30,7/8/2021,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,9/15/2004,28,Rome,ITA,0:0:47:30
Russian National Swimming Championships (50m),47.31,4/7/2021,Men 100 Freestyle LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,7/9/2000,29,Kazan,RUS,0:0:47:31
18th FINA World Championships 2019,47.32,7/24/2019,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,8/16/1996,30,Gwangju,KOR,0:0:47:32
Olympic Games Beijing 2008,47.32,8/14/2008,Men 100 Freestyle LCM Male,AUS,Australia,"SULLIVAN, Eamon",M,8/30/1985,31,Beijing,CHN,0:0:47:32
13th FINA World Championships 2009,47.33,7/30/2009,Men 100 Freestyle LCM Male,USA,United States of America,"WALTERS, David",M,9/27/1987,32,Rome,ITA,0:0:47:33
18th FINA World Championships 2019,47.35,7/24/2019,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,8/16/1996,33,Gwangju,KOR,0:0:47:35
Hancock Prospecting Australian Swimming Trials 2019,47.35,6/12/2019,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,6/25/1998,34,Brisbane,AUS,0:0:47:35
22nd Commonwealth Games 2022,47.36,7/31/2022,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,6/25/1998,35,Birmingham,GBR,0:0:47:36
8th FINA World Junior Swimming Championships 2022,47.37,8/30/2022,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,9/15/2004,36,Lima,PER,0:0:47:37
European Championships 2021,47.37,5/19/2021,Men 100 Freestyle LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,7/9/2000,37,Budapest,HUN,0:0:47:37
13th FINA World Championships 2009,47.37,7/30/2009,Men 100 Freestyle LCM Male,SWE,Sweden,"NYSTRAND, Stefan",M,10/20/1981,38,Rome,ITA,0:0:47:37
US Olympic Team Trials - Wave II,47.39,6/17/2021,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,8/16/1996,39,Omaha,USA,0:0:47:39
Philipps 66 USA National Championships (50m),47.39,7/31/2019,Men 100 Freestyle LCM Male,USA,United States of America,"HELD, Ryan",M,6/27/1995,40,Palo Alto,USA,0:0:47:39
13th FINA World Championships 2009,47.39,7/26/2009,Men 100 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,1/10/1987,41,Rome,ITA,0:0:47:39
Philipps 66 USA National Championships (50m),47.43,7/31/2019,Men 100 Freestyle LCM Male,USA,United States of America,"HELD, Ryan",M,6/27/1995,42,Palo Alto,USA,0:0:47:43
Russian National Championships (50m),47.43,4/9/2019,Men 100 Freestyle LCM Male,RUS,Russian Federation,"GRINEV, Vladislav",M,7/21/1996,43,Moscow,RUS,0:0:47:43
Olympic Games Tokyo 2020,47.44,7/29/2021,Men 100 Freestyle LCM Male,ROC,ROC,"KOLESNIKOV, Kliment",M,7/9/2000,44,Tokyo,JPN,0:0:47:44
European Championships 2021,47.45,5/19/2021,Men 100 Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,10/2/1998,45,Budapest,HUN,0:0:47:45
Olympic Games Tokyo 2020,47.46,7/25/2021,Men 100 Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,10/2/1998,46,Tokyo,JPN,0:0:47:46
European Championships 2022,47.47,8/13/2022,Men 100 Freestyle LCM Male,HUN,Hungary,"MILAK, Kristof",M,2/20/2000,47,Rome,ITA,0:0:47:47
Hancock Prospecting Australian National Championships (50m),47.48,4/8/2019,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,6/25/1998,48,Adelaide,AUS,0:0:47:48
13th FINA World Championships 2009,47.48,7/29/2009,Men 100 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,1/10/1987,49,Rome,ITA,0:0:47:48
14th FINA World Championships 2011,47.49,7/24/2011,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,4/11/1991,50,Shanghai,CHN,0:0:47:49
European Championships 2008,47.50,3/22/2008,Men 100 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,5/1/1983,51,Eindhoven,NED,0:0:47:50
22nd Commonwealth Games 2022,47.51,8/1/2022,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,6/25/1998,52,Birmingham,GBR,0:0:47:51
Olympic Games Beijing 2008,47.51,8/11/2008,Men 100 Freestyle LCM Male,USA,United States of America,"PHELPS, Michael",M,6/30/1985,53,Beijing,CHN,0:0:47:51
Olympic Games Tokyo 2020,47.52,7/28/2021,Men 100 Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,10/2/1998,54,Tokyo,JPN,0:0:47:52
Olympic Games Tokyo 2020,47.52,7/26/2021,Men 100 Freestyle LCM Male,FRA,France,"GROUSSET, Maxime",M,4/24/1999,55,Tokyo,JPN,0:0:47:52
Olympic Games London 2012,47.52,8/1/2012,Men 100 Freestyle LCM Male,USA,United States of America,"ADRIAN, Nathan",M,12/7/1988,56,London,GBR,0:0:47:52
13th FINA World Championships 2009,47.52,7/26/2009,Men 100 Freestyle LCM Male,SWE,Sweden,"NYSTRAND, Stefan",M,10/20/1981,57,Rome,ITA,0:0:47:52
European Championships 2021,47.53,5/18/2021,Men 100 Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,10/2/1998,58,Budapest,HUN,0:0:47:53
European Championships 2021,47.53,5/18/2021,Men 100 Freestyle LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,7/9/2000,59,Budapest,HUN,0:0:47:53
2013 EnergyAustralia Swimming,47.53,4/26/2013,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,4/11/1991,60,Adelaide,AUS,0:0:47:53
Olympic Games London 2012,47.53,8/1/2012,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,4/11/1991,61,London,GBR,0:0:47:53
13th FINA World Championships 2009,47.53,7/29/2009,Men 100 Freestyle LCM Male,SWE,Sweden,"NYSTRAND, Stefan",M,10/20/1981,62,Rome,ITA,0:0:47:53
European Junior Swimming Championships 2022,47.54,7/5/2022,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,9/15/2004,63,Otopeni,ROU,0:0:47:54
19th FINA World Championships Budapest 2022,47.54,6/21/2022,Men 100 Freestyle LCM Male,FRA,France,"GROUSSET, Maxime",M,4/24/1999,64,Budapest,HUN,0:0:47:54
19th FINA World Championships Budapest 2022,47.55,6/21/2022,Men 100 Freestyle LCM Male,CAN,Canada,"LIENDO EDWARDS, Joshua",M,8/20/2002,65,Budapest,HUN,0:0:47:55
Olympic Games Tokyo 2020,47.56,7/28/2021,Men 100 Freestyle LCM Male,KOR,Republic of Korea,"HWANG, Sunwoo",M,5/21/2003,66,Tokyo,JPN,0:0:47:56
European Junior Swimming Championships 2021,47.56,7/6/2021,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,9/15/2004,67,Rome,ITA,0:0:47:56
Aquatic Super Series 2016,47.56,2/5/2016,Men 100 Freestyle LCM Male,AUS,Australia,"MCEVOY, Cameron",M,5/13/1994,68,Perth,AUS,0:0:47:56
Olympic Games Beijing 2008,47.56,8/11/2008,Men 100 Freestyle LCM Male,CAN,Canada,"HAYDEN, Brent",M,10/21/1983,69,Beijing,CHN,0:0:47:56
Russian National  Championships (50m),47.57,10/30/2020,Men 100 Freestyle LCM Male,RUS,Russian Federation,"MINAKOV, Andrei",M,3/17/2002,70,Kazan,RUS,0:0:47:57
19th FINA World Championships Budapest 2022,47.58,6/22/2022,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,9/15/2004,71,Budapest,HUN,0:0:47:58
18th FINA World Championships 2019,47.58,7/24/2019,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,6/25/1998,72,Gwangju,KOR,0:0:47:58
Olympic Games Rio 2016,47.58,8/10/2016,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,6/25/1998,73,Rio de Janeiro,BRA,0:0:47:58
Hancock Prospecting Australian Swimming Trials 2021,47.59,6/15/2021,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,6/25/1998,74,Adelaide,AUS,0:0:47:59
2014 BHP Billiton Aquatic Super Series,47.59,1/31/2014,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,4/11/1991,75,Perth,AUS,0:0:47:59
13th FINA World Championships 2009,47.59,7/29/2009,Men 100 Freestyle LCM Male,USA,United States of America,"WALTERS, David",M,9/27/1987,76,Rome,ITA,0:0:47:59
European Championships 2022,47.60,8/12/2022,Men 100 Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,10/2/1998,77,Rome,ITA,0:0:47:60
19th FINA World Championships Budapest 2022,47.60,6/21/2022,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,9/15/2004,78,Budapest,HUN,0:0:47:60
Russian National Swimming Championships (50m),47.60,4/6/2021,Men 100 Freestyle LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,7/9/2000,79,Kazan,RUS,0:0:47:60
Brazilian National Championships (50m),47.60,5/10/2009,Men 100 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,1/10/1987,80,Rio de Janeiro,BRA,0:0:47:60
European Championships 2008,47.60,3/21/2008,Men 100 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,5/1/1983,81,Eindhoven,NED,0:0:47:60
Philipps 66 USA National Championships (50m),47.61,7/31/2019,Men 100 Freestyle LCM Male,USA,United States of America,"ROONEY, Maxime",M,4/16/1998,82,Palo Alto,USA,0:0:47:61
27th Summer Universiade 2013,47.62,7/14/2013,Men 100 Freestyle LCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,6/16/1992,83,Kazan,RUS,0:0:47:62
European Championships 2022,47.63,8/13/2022,Men 100 Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,10/2/1998,84,Rome,ITA,0:0:47:63
19th FINA World Championships Budapest 2022,47.63,6/21/2022,Men 100 Freestyle LCM Male,GBR,Great Britain,"BURRAS, Lewis Edward",M,2/12/2000,85,Budapest,HUN,0:0:47:63
18th FINA World Championships 2019,47.63,7/21/2019,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,8/16/1996,86,Gwangju,KOR,0:0:47:63
Olympic Games London 2012,47.63,7/31/2012,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,4/11/1991,87,London,GBR,0:0:47:63
2012 EnergyAustralia Swimming,47.63,3/15/2012,Men 100 Freestyle LCM Male,AUS,Australia,"ROBERTS, James",M,4/11/1991,88,Adelaide,AUS,0:0:47:63
14th FINA World Championships 2011,47.63,7/28/2011,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,4/11/1991,89,Shanghai,CHN,0:0:47:63
19th FINA World Championships Budapest 2022,47.64,6/22/2022,Men 100 Freestyle LCM Male,FRA,France,"GROUSSET, Maxime",M,4/24/1999,90,Budapest,HUN,0:0:47:64
19th FINA World Championships Budapest 2022,47.65,6/21/2022,Men 100 Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,8/4/2004,91,Budapest,HUN,0:0:47:65
Russian National Championships (50m),47.65,4/10/2019,Men 100 Freestyle LCM Male,RUS,Russian Federation,"GRINEV, Vladislav",M,7/21/1996,92,Moscow,RUS,0:0:47:65
17th FINA World Championships 2017,47.65,7/26/2017,Men 100 Freestyle LCM Male,FRA,France,"METELLA, Mehdy",M,7/17/1992,93,Budapest,HUN,0:0:47:65
China Autumn Nationals,47.65,10/14/2014,Men 100 Freestyle LCM Male,CHN,People's Republic of China,"NING, Zetao",M,3/6/1993,94,Huangshan,CHN,0:0:47:65
Australian National Championships (50m),47.65,4/1/2014,Men 100 Freestyle LCM Male,AUS,Australia,"MCEVOY, Cameron",M,5/13/1994,95,Brisbane,AUS,0:0:47:65
17th FINA World Championships 2017,47.66,7/26/2017,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,8/16/1996,96,Budapest,HUN,0:0:47:66
13th FINA World Championships 2009,47.66,7/29/2009,Men 100 Freestyle LCM Male,SWE,Sweden,"NYSTRAND, Stefan",M,10/20/1981,97,Rome,ITA,0:0:47:66
19th FINA World Championships Budapest 2022,47.67,6/18/2022,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,8/16/1996,98,Budapest,HUN,0:0:47:67
7th EDF Open Swimming,47.67,7/6/2013,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,4/11/1991,99,Vichy,FRA,0:0:47:67
Olympic Games Beijing 2008,47.67,8/14/2008,Men 100 Freestyle LCM Male,USA,United States of America,"LEZAK, Jason",M,11/12/1975,100,Beijing,CHN,0:0:47:67
Olympic Games Beijing 2008,47.67,8/14/2008,Men 100 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,1/10/1987,101,Beijing,CHN,0:0:47:67
Maria Lenk / Brazil Trophy,47.68,4/18/2019,Men 100 Freestyle LCM Male,BRA,Brazil,"CHIERIGHINI, Marcelo",M,1/15/1991,102,Rio de Janeiro,BRA,0:0:47:68
Olympic Games Beijing 2008,47.68,8/13/2008,Men 100 Freestyle LCM Male,NED,Netherlands,"VAN DEN HOOGENBAND, Pieter",M,3/14/1978,103,Beijing,CHN,0:0:47:68
European Championships 2022,47.69,8/14/2022,Men 100 Freestyle LCM Male,FRA,France,"GROUSSET, Maxime",M,4/24/1999,104,Rome,ITA,0:0:47:69
European Junior Swimming Championships 2022,47.69,7/10/2022,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,9/15/2004,105,Otopeni,ROU,0:0:47:69
19th FINA World Championships Budapest 2022,47.69,6/21/2022,Men 100 Freestyle LCM Male,HUN,Hungary,"NEMETH, Nandor",M,11/19/1999,106,Budapest,HUN,0:0:47:69
USA Winter National Championships (50m),47.69,12/7/2019,Men 100 Freestyle LCM Male,USA,United States of America,"APPLE, Zach",M,4/23/1997,107,Atlanta,USA,0:0:47:69
Russian National Swimming Championships (50m),47.70,4/6/2021,Men 100 Freestyle LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,7/9/2000,108,Kazan,RUS,0:0:47:70
17th Asian Games 2014,47.70,9/25/2014,Men 100 Freestyle LCM Male,CHN,People's Republic of China,"NING, Zetao",M,3/6/1993,109,Incheon,KOR,0:0:47:70
19th FINA World Championships Budapest 2022,47.71,6/22/2022,Men 100 Freestyle LCM Male,CAN,Canada,"LIENDO EDWARDS, Joshua",M,8/20/2002,110,Budapest,HUN,0:0:47:71
Olympic Games Tokyo 2020,47.71,7/27/2021,Men 100 Freestyle LCM Male,ITA,Italy,"CECCON, Thomas",M,1/27/2001,111,Tokyo,JPN,0:0:47:71
Olympic Games Tokyo 2020,47.71,7/26/2021,Men 100 Freestyle LCM Male,ROC,ROC,"MINAKOV, Andrei",M,3/17/2002,112,Tokyo,JPN,0:0:47:71
15th FINA World Championships 2013,47.71,8/1/2013,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,4/11/1991,113,Barcelona,ESP,0:0:47:71
15th FINA World Championships 2013,47.71,7/31/2013,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,4/11/1991,114,Barcelona,ESP,0:0:47:71
Olympic Games Tokyo 2020,47.72,7/29/2021,Men 100 Freestyle LCM Male,FRA,France,"GROUSSET, Maxime",M,4/24/1999,115,Tokyo,JPN,0:0:47:72
Olympic Games Tokyo 2020,47.72,7/28/2021,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,9/15/2004,116,Tokyo,JPN,0:0:47:72
Olympic Games Tokyo 2020,47.72,7/26/2021,Men 100 Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,10/2/1998,117,Tokyo,JPN,0:0:47:72
US Olympic Team Trials - Wave II,47.72,6/17/2021,Men 100 Freestyle LCM Male,USA,United States of America,"APPLE, Zach",M,4/23/1997,118,Omaha,USA,0:0:47:72
US Olympic Team Trials - Swimming,47.72,6/30/2016,Men 100 Freestyle LCM Male,USA,United States of America,"ADRIAN, Nathan",M,12/7/1988,119,Omaha,USA,0:0:47:72
Olympic Games Tokyo 2020,47.73,7/27/2021,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,8/16/1996,120,Tokyo,JPN,0:0:47:73
2014 Victorian Open Championships,47.73,1/17/2014,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,4/11/1991,121,Melbourne,AUS,0:0:47:73
13th FINA World Championships 2009,47.73,7/26/2009,Men 100 Freestyle LCM Male,FRA,France,"GILOT, Fabien",M,4/27/1984,122,Rome,ITA,0:0:47:73
European Championships 2021,47.74,5/19/2021,Men 100 Freestyle LCM Male,RUS,Russian Federation,"MINAKOV, Andrei",M,3/17/2002,123,Budapest,HUN,0:0:47:74
European Championships 2021,47.74,5/17/2021,Men 100 Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,10/2/1998,124,Budapest,HUN,0:0:47:74
Russian National Championships (50m),47.74,4/9/2019,Men 100 Freestyle LCM Male,RUS,Russian Federation,"GRINEV, Vladislav",M,7/21/1996,125,Moscow,RUS,0:0:47:74
Philipps 66 USA National Championships (50m),47.75,7/31/2019,Men 100 Freestyle LCM Male,USA,United States of America,"ROONEY, Maxime",M,4/16/1998,126,Palo Alto,USA,0:0:47:75
Russian National Championships 2018,47.75,4/22/2018,Men 100 Freestyle LCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,6/16/1992,127,Moscow,RUS,0:0:47:75
2014 NSW State Open Championships,47.75,2/28/2014,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,4/11/1991,128,Sydney,AUS,0:0:47:75
Olympic Games Beijing 2008,47.75,8/14/2008,Men 100 Freestyle LCM Male,NED,Netherlands,"VAN DEN HOOGENBAND, Pieter",M,3/14/1978,129,Beijing,CHN,0:0:47:75
European Championships 2022,47.76,8/14/2022,Men 100 Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,10/2/1998,130,Rome,ITA,0:0:47:76
European Championships 2022,47.76,8/12/2022,Men 100 Freestyle LCM Male,HUN,Hungary,"MILAK, Kristof",M,2/20/2000,131,Rome,ITA,0:0:47:76
European Junior Swimming Championships 2022,47.76,7/5/2022,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,9/15/2004,132,Otopeni,ROU,0:0:47:76
18th FINA World Championships 2019,47.76,7/24/2019,Men 100 Freestyle LCM Male,BRA,Brazil,"CHIERIGHINI, Marcelo",M,1/15/1991,133,Gwangju,KOR,0:0:47:76
Olympic Games Beijing 2008,47.76,8/10/2008,Men 100 Freestyle LCM Male,FRA,France,"LEVEAUX, Amaury",M,12/2/1985,134,Beijing,CHN,0:0:47:76
Olympic Games Tokyo 2020,47.77,7/27/2021,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,6/25/1998,135,Tokyo,JPN,0:0:47:77
US Olympic Team Trials - Wave II,47.77,6/16/2021,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,8/16/1996,136,Omaha,USA,0:0:47:77
Russian National Swimming Championships (50m),47.77,4/7/2021,Men 100 Freestyle LCM Male,RUS,Russian Federation,"MINAKOV, Andrei",M,3/17/2002,137,Kazan,RUS,0:0:47:77
13th FINA World Championships 2009,47.77,7/26/2009,Men 100 Freestyle LCM Male,CAN,Canada,"HAYDEN, Brent",M,10/21/1983,138,Rome,ITA,0:0:47:77
European Championships 2022,47.78,8/13/2022,Men 100 Freestyle LCM Male,FRA,France,"GROUSSET, Maxime",M,4/24/1999,139,Rome,ITA,0:0:47:78
Russian National Championships (50m),47.78,4/29/2022,Men 100 Freestyle LCM Male,RUS,Russian Federation,"GRINEV, Vladislav",M,7/21/1996,140,Kazan,RUS,0:0:47:78
US Olympic Team Trials - Wave II,47.78,6/16/2021,Men 100 Freestyle LCM Male,USA,United States of America,"APPLE, Zach",M,4/23/1997,141,Omaha,USA,0:0:47:78
FINA Swimming World Cup 2019,47.78,11/2/2019,Men 100 Freestyle LCM Male,RUS,Russian Federation,"GRINEV, Vladislav",M,7/21/1996,142,Kazan,RUS,0:0:47:78
13th FINA World Championships 2009,47.78,7/29/2009,Men 100 Freestyle LCM Male,BRA,Brazil,"OLIVEIRA, Nicolas",M,8/4/1987,143,Rome,ITA,0:0:47:78
13th FINA World Championships 2009,47.78,7/26/2009,Men 100 Freestyle LCM Male,USA,United States of America,"PHELPS, Michael",M,6/30/1985,144,Rome,ITA,0:0:47:78
19th FINA World Championships Budapest 2022,47.79,6/22/2022,Men 100 Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,8/4/2004,145,Budapest,HUN,0:0:47:79
Phillips 66 International Team Trials 2022,47.79,4/26/2022,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,8/16/1996,146,Greensboro,USA,0:0:47:79
30th Summer Universiade 2019,47.79,7/4/2019,Men 100 Freestyle LCM Male,USA,United States of America,"APPLE, Zach",M,4/23/1997,147,Napoli,ITA,0:0:47:79
13th FINA World Championships 2009,47.79,7/29/2009,Men 100 Freestyle LCM Male,RSA,South Africa,"FERNS, Lyndon",M,9/24/1983,148,Rome,ITA,0:0:47:79
Olympic Games Tokyo 2020,47.80,7/28/2021,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,6/25/1998,149,Tokyo,JPN,0:0:47:80
Olympic Games Rio 2016,47.80,8/10/2016,Men 100 Freestyle LCM Male,BEL,Belgium,"TIMMERS, Pieter",M,1/21/1988,150,Rio de Janeiro,BRA,0:0:47:80
Olympic Games London 2012,47.80,8/1/2012,Men 100 Freestyle LCM Male,CAN,Canada,"HAYDEN, Brent",M,10/21/1983,151,London,GBR,0:0:47:80
13th FINA World Championships 2009,47.80,7/29/2009,Men 100 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,5/1/1983,152,Rome,ITA,0:0:47:80
Olympic Games Beijing 2008,47.80,8/12/2008,Men 100 Freestyle LCM Male,AUS,Australia,"SULLIVAN, Eamon",M,8/30/1985,153,Beijing,CHN,0:0:47:80
